Codigo Cliente;Codigo Produto;Codigo Consultor;DataFaturamento;NumeroNota;ModeloNota;SerieNota;QtdeFaturada;ValorFaturado;NatOperacao;Descricao Filial;CNPJ FORNECEDOR;CNPJ ROGE;OrigemPedido
722054;433494;86885;20201113;1939604;55;7;30;205,200000;Venda;Interg;22137853000102;10829506000161;Venda Externa
722054;433512;86885;20201113;1939604;55;7;30;209,700000;Venda;Interg;22137853000102;10829506000161;Venda Externa
722054;433550;86885;20201113;1939604;55;7;30;209,700000;Venda;Interg;22137853000102;10829506000161;Venda Externa
722054;433573;86885;20201113;1939604;55;7;36;246,240000;Venda;Interg;22137853000102;10829506000161;Venda Externa
722054;433603;86885;20201113;1939604;55;7;24;184,560000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1256660;416941;994341;20201113;1939596;55;7;48;141,120000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
435223;433391;86885;20201113;1939555;55;7;48;335,520000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433408;86885;20201113;1939555;55;7;36;251,640000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433410;86885;20201113;1939555;55;7;48;335,520000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433469;86885;20201113;1939555;55;7;48;335,520000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433494;86885;20201113;1939555;55;7;48;328,320000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433512;86885;20201113;1939555;55;7;48;335,520000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433550;86885;20201113;1939555;55;7;48;335,520000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433573;86885;20201113;1939555;55;7;48;328,320000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433597;86885;20201113;1939555;55;7;24;167,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
435223;433603;86885;20201113;1939555;55;7;24;184,560000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;433573;22342;20201113;1939373;55;7;6;37,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;373851;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;373916;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;373991;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374143;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374179;22342;20201113;1939373;55;7;6;19,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374271;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374581;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374623;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374672;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;374714;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;375603;22342;20201113;1939373;55;7;6;19,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;375998;22342;20201113;1939373;55;7;6;19,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;391864;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;410172;22342;20201113;1939373;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;427641;22342;20201113;1939373;55;7;6;23,460000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433573;86885;20201113;1939526;55;7;36;246,240000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433603;86885;20201113;1939526;55;7;36;276,840000;Venda;Interg;22137853000102;10829506000161;Venda Externa
816231;419266;12040;20201113;1939527;55;7;1;7,250000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
816231;419280;12040;20201113;1939527;55;7;1;7,250000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
816231;419291;12040;20201113;1939527;55;7;1;7,250000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
743940;433391;86885;20201113;1939526;55;7;30;209,700000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433469;86885;20201113;1939526;55;7;30;209,700000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433494;86885;20201113;1939526;55;7;30;205,200000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433512;86885;20201113;1939526;55;7;30;209,700000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743940;433548;86885;20201113;1939526;55;7;24;167,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1080234;33765;83719;20201113;1939512;55;7;3;15,150000;Venda;Interg;22137853000102;10829506000161;Venda Externa
924106;416988;11538;20201113;1939485;55;7;12;46,080000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
312927;416988;11538;20201113;1939477;55;7;12;46,080000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
1033839;396849;71249;20201113;1939473;55;7;2;24,180000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1033839;396862;71249;20201113;1939473;55;7;2;24,180000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1033839;396886;71249;20201113;1939473;55;7;4;48,360000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1033839;385943;71249;20201113;1939473;55;7;4;48,360000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1033839;385967;71249;20201113;1939473;55;7;3;40,290000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;406790;87828;20201113;1939467;55;7;2;9,300000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;410147;87828;20201113;1939467;55;7;2;9,300000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;416151;87828;20201113;1939467;55;7;2;16,780000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;422526;87828;20201113;1939467;55;7;2;16,780000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;422540;87828;20201113;1939467;55;7;2;9,300000;Venda;Interg;22137853000102;10829506000161;Venda Externa
991508;406788;87828;20201113;1939467;55;7;2;9,300000;Venda;Interg;22137853000102;10829506000161;Venda Externa
278099;416927;22342;20201113;1939459;55;7;6;16,620000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
278099;416988;22342;20201113;1939459;55;7;42;161,280000;Bonificacao;Interg;22137853000102;10829506000161;Venda Externa
367151;337754;6828;20201113;1939460;55;7;2;13,240000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
367151;374714;6828;20201113;1939460;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
